saddar,kot abdul malik toll plaza,47 min,22.4
saddar,baghm kot,39 min,28.7
saddar,basi mor,20 min,8.8
saddar,shalimar,7 min,3.5
saddar,mughal pura,11 min,4.1
saddar,Dhrampora,11 min,4.1
saddar,Jailroad Pull,12 min,6.0
saddar,Golbagh,25 min,8.8
saddar,Taj pura,23 min,8.3
saddar,Chmra Mandi,16 min,6.5
saddar,Misri shah,23 min,7.8
saddar,Duece road,13 min,4.6
saddar,China Chownk,24 min,9.5
saddar,Shadman,14 min,6.9
saddar,Service hospital,25 min,12.5
saddar,Nadeem chownk,13 min,5.9
saddar,GPO,18 min,7.6
saddar,UET,14 min,5.5
saddar,Simla phari,14 min,4.5
saddar,Engneering University,39 min,24.4
saddar,Green Town,34 min,19.7
saddar,Sadiq Chownk,28 min,16.5
saddar,Barkat chownk,27 min,15.6
saddar,Town ship,22 min,13.8
saddar,Model Town,19 min,10.9
saddar,General Hospital,23 min,14.2
saddar,Muslim Town,13 min,6.8
saddar,Multan Chungi,24 min,15.6
saddar,Smanabad,23 min,11.2
saddar,Chuburji,20 min,10.7
saddar,MOA College,20 min,8.8
saddar,Sherakot,32 min,15.4
saddar,Liaqat chownk,29 min,14.0
saddar,masjid kizra,20 min,6.6
saddar,gulashan ravi,26 min,12.6
saddar,yeteeem khana,27 min,13.5
saddar,awaan town,30 min,15.0
saddar,dubai chownk,21 min,11.3
saddar,asif block,21 min,10.2
saddar,abu bkr chownk,28 min,15.6
saddar,usman chownk,28 min,9.7
saddar,Butt chownk,29 min,16.8
saddar,Faisal Town,18 min,12.0
saddar,Chungi amrsandu,23 min,14.4
saddar,Ywanaabad,30 min,18.7
saddar,kala shah kaku,37 min,34.3
saddar,wahdatroad,17 min,8.5
saddar,Ichraaa,19 min,10.3
saddar,Jnazgah,19 min,10.3
saddar,allama iqbal town,25 min,13.7
saddar,dubai chownk,21 min,11.3
sherpo bridge,new campus,13 min,10.6
sherpo bridge,defence mor,10 min,5.4
sherpo bridge,ghazi road,19 min,9.5
sherpo bridge,bhatta chowk,1 hr 1 min,48.3
sherpo bridge,ra bazar,8 min,4.1
sherpo bridge,firdus market,8 min,3.9
sherpo bridge,shah tajj market,12 min,6.0
sherpo bridge,walton station,12 min,6.0
sherpo bridge,kalma chowk,11 min,6.3
sherpo bridge,garden town,10 min,6.1
sherpo bridge,shiekh welfare hospital,13 hr 55 min,6.1
sherpo bridge,imamia colony,41 min,19.6
sherpo bridge,ravi pull,31 min,15.7
sherpo bridge,bhatti gate,20 min,10.9
sherpo bridge,old campus,15 min,9.0
sherpo bridge,shahdra station,30 min,15.8
sherpo bridge,shahdara chowk,32 min,16.0
sherpo bridge,kot abdul malik toll plaza,40 min,27.6
sherpo bridge,baghm kot,35 min,17.4
sherpo bridge,basi mor,29 min,13.4
sherpo bridge,shalimar,16 min,8.0
sherpo bridge,mughal pura,14 min,8.5
sherpo bridge,Dhrampora,14 min,8.5
sherpo bridge,Jailroad Pull,4 min,2.6
sherpo bridge,Golbagh,28 min,12.4
sherpo bridge,Taj pura,26 min,11.9
sherpo bridge,Chmra Mandi,19 min,10.1
sherpo bridge,Misri shah,26 min,11.4
sherpo bridge,Duece road,13 min,6.9
sherpo bridge,China Chownk,29 min,13.2
sherpo bridge,Shadman,7 min,4.1
sherpo bridge,Service hospital,18 min,10.2
sherpo bridge,Nadeem chownk,8 min,3.9
sherpo bridge,GPO,15 min,9.0
sherpo bridge,UET,17 min,9.1
sherpo bridge,Simla phari,12 min,6.7
sherpo bridge,Engneering University,32 min,22.2
sherpo bridge,Green Town,27 min,16.0
sherpo bridge,Sadiq Chownk,22 min,14.2
sherpo bridge,Barkat chownk,21 min,13.3
sherpo bridge,Town ship,16 min,11.5
sherpo bridge,Model Town,12 min,7.3
sherpo bridge,General Hospital,16 min,10.6
sherpo bridge,Muslim Town,7 min,4.5
sherpo bridge,Multan Chungi,18 min,13.3
sherpo bridge,Smanabad,15 min,7.9
sherpo bridge,Chuburji,12 min,7.4
sherpo bridge,MOA College,15 min,8.7
sherpo bridge,Sherakot,23 min,12.0
sherpo bridge,Liaqat chownk,22 min,11.8
sherpo bridge,Phela gol chakr samanbad,11 min,5.4
sherpo bridge,masjid kizra,23 min,10.2
sherpo bridge,gulashan ravi,18 min,9.3
sherpo bridge,yeteeem khana,21 min,10.5
sherpo bridge,awaan town,25 min,12.8
sherpo bridge,dubai chownk,15 min,9.0
sherpo bridge,asif block,15 min,7.9
sherpo bridge,abu bkr chownk,21 min,13.3
sherpo bridge,usman chownk,26 min,13.5
sherpo bridge,Butt chownk,22 min,14.6
sherpo bridge,Faisal Town,12 min,9.7
sherpo bridge,Chungi amrsandu,16 min,10.8
sherpo bridge,Ywanaabad,22 min,15.1
sherpo bridge,kala shah kaku,43 min,39.5
sherpo bridge,wahdatroad,10 min,6.2
sherpo bridge,Ichraaa,10 min,6.9
sherpo bridge,Jnazgah,10 min,6.9
sherpo bridge,allama iqbal town,19 min,11.4
sherpo bridge,dubai chownk,15 min,9.0
new campus,defence mor,17 min,11.0
new campus,ghazi road,23 min,14.9
new campus,bhatta chowk,1 hr 3 min,49.4
new campus,ra bazar,19 min,10.9
new campus,firdus market,12 min,7.5
new campus,shah tajj market,19 min,11.7
new campus,walton station,19 min,11.7
new campus,kalma chowk,12 min,6.2
new campus,garden town,9 min,5.8
new campus,shiekh welfare hospital,13 hr 50 min,5.8
new campus,imamia colony,44 min,22.4
new campus,ravi pull,35 min,18.5
new campus,bhatti gate,24 min,13.7
new campus,old campus,18 min,11.9
new campus,shahdra station,33 min,18.6
new campus,shahdara chowk,35 min,18.8
new campus,kot abdul malik toll plaza,34 min,33.2
new campus,baghm kot,38 min,20.2
new campus,basi mor,31 min,19.6
new campus,shalimar,18 min,14.2
new campus,mughal pura,18 min,13.6
new campus,Dhrampora,18 min,13.6
new campus,Jailroad Pull,10 min,8.6
new campus,Golbagh,32 min,17.6
new campus,Taj pura,30 min,17.0
new campus,Chmra Mandi,23 min,15.2
new campus,Misri shah,29 min,16.5
new campus,Duece road,16 min,12.0
new campus,China Chownk,34 min,18.3
new campus,Shadman,11 min,8.1
new campus,Service hospital,14 min,7.2
new campus,Nadeem chownk,18 min,10.7
new campus,GPO,19 min,11.9
new campus,UET,21 min,14.3
new campus,Simla phari,16 min,11.8
new campus,Engneering University,23 min,14.2
new campus,Green Town,18 min,8.9
new campus,Sadiq Chownk,13 min,6.3
new campus,Barkat chownk,12 min,5.3
new campus,Town ship,7 min,3.5
new campus,Model Town,8 min,4.3
new campus,General Hospital,18 min,11.6
new campus,Muslim Town,7 min,5.9
new campus,Multan Chungi,9 min,5.4
new campus,Smanabad,17 min,9.1
new campus,Chuburji,15 min,10.2
new campus,MOA College,18 min,11.6
new campus,Sherakot,20 min,9.7
new campus,Liaqat chownk,13 min,6.6
new campus,Phela gol chakr samanbad,18 min,14.4
new campus,masjid kizra,26 min,15.3
new campus,gulashan ravi,21 min,12.5
new campus,yeteeem khana,16 min,8.2
new campus,awaan town,14 min,6.7
new campus,dubai chownk,10 min,6.0
new campus,asif block,10 min,6.0
new campus,abu bkr chownk,12 min,5.3
new campus,usman chownk,29 min,16.3
new campus,Butt chownk,13 min,6.6
new campus,Faisal Town,3 min,1.8
new campus,Chungi amrsandu,18 min,11.8
new campus,Ywanaabad,24 min,16.1
new campus,kala shah kaku,41 min,43.3
new campus,wahdatroad,10 min,7.0
new campus,Ichraaa,14 min,9.7
new campus,Jnazgah,14 min,9.7
new campus,allama iqbal town,9 min,5.4
new campus,dubai chownk,10 min,6.0
defence mor,ghazi road,9 min,4.4
defence mor,bhatta chowk,56 min,43.2
defence mor,ra bazar,6 min,2.2
defence mor,firdus market,9 min,3.8
defence mor,kalma chowk,12 min,7.2
defence mor,garden town,11 min,6.6
defence mor,shiekh welfare hospital,14 hr 4 min,6.6
defence mor,imamia colony,48 min,24.1
defence mor,ravi pull,38 min,20.2
defence mor,bhatti gate,28 min,15.4
defence mor,old campus,23 min,13.6
defence mor,shahdra station,37 min,20.3
defence mor,shahdara chowk,39 min,20.5
defence mor,kot abdul malik toll plaza,47 min,41.9
defence mor,baghm kot,43 min,21.9
defence mor,basi mor,32 min,15.0
defence mor,shalimar,19 min,9.6
defence mor,mughal pura,23 min,12.0
defence mor,Dhrampora,23 min,12.0
defence mor,Jailroad Pull,13 min,8.0
defence mor,Golbagh,37 min,16.0
defence mor,Taj pura,36 min,14.8
defence mor,Chmra Mandi,28 min,13.6
defence mor,Misri shah,34 min,15.0
defence mor,Duece road,21 min,10.4
defence mor,China Chownk,35 min,27.0
defence mor,Shadman,16 min,9.6
defence mor,Service hospital,22 min,11.4
defence mor,Nadeem chownk,5 min,2.0
defence mor,GPO,22 min,13.6
defence mor,UET,26 min,12.7
defence mor,Simla phari,21 min,10.3
defence mor,Engneering University,37 min,18.9
defence mor,Green Town,22 min,12.5
defence mor,Sadiq Chownk,21 min,11.1
defence mor,Barkat chownk,21 min,10.2
defence mor,Town ship,18 min,11.1
defence mor,Model Town,14 min,8.2
defence mor,General Hospital,11 min,5.5
defence mor,Muslim Town,13 min,7.6
defence mor,Multan Chungi,23 min,14.1
defence mor,Smanabad,23 min,12.8
defence mor,Chuburji,19 min,11.9
defence mor,MOA College,23 min,13.3
defence mor,Sherakot,31 min,17.0
defence mor,Liaqat chownk,25 min,13.0
defence mor,Phela gol chakr samanbad,15 min,7.0
defence mor,masjid kizra,31 min,13.7
defence mor,gulashan ravi,26 min,14.2
defence mor,yeteeem khana,25 min,12.4
defence mor,awaan town,28 min,14.0
defence mor,dubai chownk,18 min,10.2
defence mor,asif block,18 min,10.1
defence mor,abu bkr chownk,21 min,10.2
defence mor,usman chownk,33 min,18.0
defence mor,Butt chownk,24 min,12.8
defence mor,Faisal Town,16 min,9.9
defence mor,Chungi amrsandu,11 min,5.7
defence mor,Ywanaabad,18 min,10.0
defence mor,kala shah kaku,45 min,42.1
defence mor,wahdatroad,12 min,7.8
defence mor,Ichraaa,18 min,11.4
defence mor,Jnazgah,18 min,11.4
defence mor,allama iqbal town,22 min,12.6
defence mor,dubai chownk,18 min,10.2
ghazi road,bhatta chowk,51 min,43.6
ghazi road,ra bazar,14 min,6.2
ghazi road,firdus market,16 min,7.8
ghazi road,shah tajj market,11 min,4.9
ghazi road,walton station,11 min,4.9
ghazi road,kalma chowk,14 min,9.1
ghazi road,garden town,16 min,10.5
ghazi road,shiekh welfare hospital,14 hr 9 min,10.5
ghazi road,imamia colony,52 min,43.8
ghazi road,ravi pull,42 min,40.0
ghazi road,bhatti gate,33 min,19.3
ghazi road,old campus,27 min,17.4
ghazi road,shahdra station,41 min,40.1
ghazi road,shahdara chowk,43 min,40.3
ghazi road,kot abdul malik toll plaza,52 min,36.4
ghazi road,baghm kot,46 min,41.6
ghazi road,basi mor,30 min,28.5
ghazi road,shalimar,27 min,13.6
ghazi road,mughal pura,30 min,19.2
ghazi road,Dhrampora,30 min,19.2
ghazi road,Jailroad Pull,21 min,12.1
ghazi road,Golbagh,39 min,36.2
ghazi road,Taj pura,41 min,36.7
ghazi road,Chmra Mandi,35 min,20.7
ghazi road,Misri shah,39 min,36.7
ghazi road,Duece road,30 min,14.5
ghazi road,China Chownk,35 min,31.8
ghazi road,Shadman,23 min,13.6
ghazi road,Service hospital,31 min,16.5
ghazi road,Nadeem chownk,13 min,6.1
ghazi road,GPO,27 min,17.4
ghazi road,UET,33 min,19.8
ghazi road,Simla phari,29 min,14.3
ghazi road,Engneering University,34 min,28.7
ghazi road,Green Town,22 min,13.1
ghazi road,Sadiq Chownk,20 min,11.6
ghazi road,Barkat chownk,21 min,10.8
ghazi road,Town ship,19 min,10.4
ghazi road,Model Town,17 min,10.6
ghazi road,General Hospital,9 min,3.3
ghazi road,Muslim Town,17 min,11.4
ghazi road,Multan Chungi,29 min,17.9
ghazi road,Smanabad,27 min,16.7
ghazi road,Chuburji,24 min,15.7
ghazi road,MOA College,27 min,17.1
ghazi road,Sherakot,35 min,20.8
ghazi road,Liaqat chownk,32 min,18.0
ghazi road,Phela gol chakr samanbad,23 min,11.0
ghazi road,masjid kizra,38 min,20.9
ghazi road,gulashan ravi,30 min,18.1
ghazi road,yeteeem khana,30 min,17.5
ghazi road,awaan town,33 min,17.8
ghazi road,dubai chownk,24 min,15.3
ghazi road,asif block,24 min,14.8
ghazi road,abu bkr chownk,21 min,10.8
ghazi road,usman chownk,38 min,21.9
ghazi road,Butt chownk,24 min,13.3
ghazi road,Faisal Town,22 min,13.7
ghazi road,Chungi amrsandu,9 min,3.5
ghazi road,Ywanaabad,16 min,7.8
ghazi road,kala shah kaku,43 min,47.2
ghazi road,wahdatroad,17 min,11.6
ghazi road,Ichraaa,23 min,15.3
ghazi road,Jnazgah,23 min,15.3
ghazi road,allama iqbal town,28 min,16.4
ghazi road,dubai chownk,24 min,15.3
bhatta chowk,ra bazar,1 hr 6 min,45.1
bhatta chowk,firdus market,1 hr 5 min,46.3
bhatta chowk,shah tajj market,1 hr 2 min,42.7
bhatta chowk,walton station,1 hr 2 min,42.7
bhatta chowk,kalma chowk,1 hr 18 min,43.4
bhatta chowk,garden town,1 hr 2 min,44.7
bhatta chowk,shiekh welfare hospital,14 hr 39 min,44.7
bhatta chowk,imamia colony,1 hr 29 min,80.0
bhatta chowk,ravi pull,1 hr 21 min,76.1
bhatta chowk,bhatti gate,1 hr 17 min,53.5
bhatta chowk,old campus,1 hr 12 min,51.7
bhatta chowk,shahdra station,1 hr 20 min,76.2
bhatta chowk,shahdara chowk,1 hr 22 min,76.5
bhatta chowk,kot abdul malik toll plaza,1 hr 28 min,76.4
bhatta chowk,baghm kot,1 hr 25 min,77.8
bhatta chowk,basi mor,1 hr 12 min,64.7
bhatta chowk,shalimar,1 hr 12 min,63.1
bhatta chowk,mughal pura,1 hr 14 min,53.4
bhatta chowk,Dhrampora,1 hr 14 min,53.4
bhatta chowk,Jailroad Pull,1 hr 7 min,48.3
bhatta chowk,Golbagh,1 hr 19 min,72.4
bhatta chowk,Taj pura,1 hr 21 min,72.9
bhatta chowk,Chmra Mandi,1 hr 18 min,55.0
bhatta chowk,Misri shah,1 hr 19 min,72.9
bhatta chowk,Duece road,1 hr 12 min,51.8
bhatta chowk,China Chownk,1 hr 14 min,68.0
bhatta chowk,Shadman,1 hr 8 min,47.9
bhatta chowk,Service hospital,1 hr 13 min,50.7
bhatta chowk,Nadeem chownk,1 hr 6 min,45.0
bhatta chowk,GPO,1 hr 13 min,51.7
bhatta chowk,UET,1 hr 16 min,54.1
bhatta chowk,Simla phari,1 hr 12 min,51.6
bhatta chowk,Engneering University,58 min,40.0
bhatta chowk,Green Town,1 hr 5 min,44.6
bhatta chowk,Sadiq Chownk,1 hr 3 min,43.1
bhatta chowk,Barkat chownk,1 hr 4 min,42.3
bhatta chowk,Town ship,1 hr 4 min,42.2
bhatta chowk,Model Town,1 hr 4 min,43.8
bhatta chowk,General Hospital,57 min,39.8
